number,link,Message,Subject Line,characters_count,and_or,blank_line,capital_start,end_dot,imperative_start,wrap_to_72,verb_obj_conn,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters,added_lines,removed_lines,label,not_sure,
14,https://github.com/torvalds/subsurface-for-dirk/commit/3bd1abdfc781f36d2f87b39134dd4620645fe8ac,"Add 'datetime' parsing for libdivecomputer xml files

I think this gets me dates on all my dives.  So now I could start
sorting them and removing duplicates.

But before I try to remove dups, I guess I should compare the
libdivecomputer ones against the suunto ones.  Because I bet they have
various ""interesting"" issues like using Bar vs Atm etc.

""But XML is portable"". Crazy people.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add 'datetime' parsing for libdivecomputer xml files,52,1,1,1,1,1,1,1,1,3,0,0,0.11,0.89,1,23,0,good,,
15,https://github.com/torvalds/subsurface-for-dirk/commit/048a5a2b32c0638708ca4779007f9e33226d54f4,"Don't report dives as they are parsed: sort them at the end and report them then

This makes it much easier to see the duplicates, but more importantly,
we do need to actually save the dives off to do any real work with them.

Also, require a verbosity level of 1 (-v) to show all the samples.
While (-vv) shows unparsed entries.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Don't report dives as they are parsed: sort them at the end and report them then,80,0,1,0,1,1,0,1,1,6,0,0,0.97,1,1,42,3,neutral,1,
16,https://github.com/torvalds/subsurface-for-dirk/commit/fc38f4f0c4dba1b7339edbe7ef01b53cbcc78f15,"Add some more parsing functions

.. and fix the 'duration' parsing: it can be either in seconds, or in
mm:ss format.  Floating point doesn't make any sense.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add some more parsing functions,31,1,1,1,1,1,1,1,1,4,0,0.25,-1,0.3,0.03,47,4,good,,
17,https://github.com/torvalds/subsurface-for-dirk/commit/17fcb3d32d6353bfcbf83a98bd8255727b055259,"Clean up dive reporting

Show date, max depth, and time by default.  The stuff that matters and
should always exist.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Clean up dive reporting,23,1,1,1,1,1,1,1,1,2,0,0,-1,-1,-1,3,4,good,,
18,https://github.com/torvalds/subsurface-for-dirk/commit/f3a338a9af53f31f9a72de021950cbe725a6782f,"Split up dive data structure declarations into 'dive.h'

The dive parser should eventually be just a part of the program, not the
whole thing. So start preparing for that.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Split up dive data structure declarations into 'dive.h',55,1,1,1,1,1,1,1,3,6,0.33,0,-1,-1,-1,119,113,good,,
19,https://github.com/torvalds/subsurface-for-dirk/commit/5c4cc39c56470b0a01274e69be703f0d4fc3080b,"Start moving some of the non-parsing stuff out of 'parse.c'

Create a 'main.c' with the main routine and argument ""parsing"" etc.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start moving some of the non-parsing stuff out of 'parse.c',59,1,1,1,1,1,1,1,4,8,0.5,0.12,1,1,1,127,90,good,,
20,https://github.com/torvalds/subsurface-for-dirk/commit/19e670a23b60c044a8492cc43d3db8dc64685042,"Add .gitignore file for current state

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add .gitignore file for current state,37,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,-1,2,0,good,,
21,https://github.com/torvalds/subsurface-for-dirk/commit/0ca546b31e5527713f11676bc965aa1ed8dac619,"Create a gtk window

It doesn't *do* anything, but some day it will.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Create a gtk window,19,1,1,1,1,1,1,1,2,4,0,0,-1,0.56,1,35,6,good,,
22,https://github.com/torvalds/subsurface-for-dirk/commit/3aa02ccba93648f2decab899a5b9c42b6bcea9bf,"Generate a default name for a dive, if it doesn't have one already

The name is a string containint date, time, depth and length.  So it's
useful even with nothing else going on.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>","Generate a default name for a dive, if it doesn't have one already",66,1,1,1,1,1,1,1,2,2,0,0,0.1,1,1,25,0,good,,
23,https://github.com/torvalds/subsurface-for-dirk/commit/d1ae1c48309cd0ac5af96114040407dd51e92c37,"Show the dives as a gtk list/tree widget

Ok, so I'm not very good at this.  I'll need to enclose the dang thing
in a scrollable window, and then make that scrollable thing just part of
the whole window.

But hey, it's pixels on the screen.  Pixels that show the names of the
dives we've parsed.  At least as many as will fit on screen at one time ;)

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Show the dives as a gtk list/tree widget,40,1,1,1,1,1,0,1,1,3,0,0,0.91,1,1,44,2,good,,
24,https://github.com/torvalds/subsurface-for-dirk/commit/5625b31873ae5a76b76b036be18858327a25d8f0,"Make the dive list scrollable (and put it in a vbox)

This means you can actually see them all, and walk through them.

It doesn't make any of this *useful*, but whatever.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Make the dive list scrollable (and put it in a vbox),52,1,1,1,1,1,1,1,1,1,0,0,-1,1,1,19,1,good,,
25,https://github.com/torvalds/subsurface-for-dirk/commit/446e51ccf032c6449c8d38dbac0b2110b4246bc5,"Fix depth parsing

The ""decimal: it's meters, integer: it's feet"" logic doesn't work.  It's
just always meters, because the xml ends up sometimes having whole meters.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fix depth parsing,17,1,1,1,1,1,0,1,1,1,0,1,1,-1,-1,3,4,good,,
26,https://github.com/torvalds/subsurface-for-dirk/commit/3aa54e206ad214d21a53599a847ae07f1c039a84,"Draw some kind of profile for the (first) dive

This is all kinds of broken: it doesn't actually follow the selected
dive, and the profile isn't scaled properly etc.  But it shows something
new, and not just text.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Draw some kind of profile for the (first) dive,46,1,1,1,1,1,1,1,1,3,0,0,-1,0.33,1,43,12,good,,
27,https://github.com/torvalds/subsurface-for-dirk/commit/8e95ded57bdbaa66ba1c2ec25c55a56d53bce943,"Split up profile frame generation into its own file.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Split up profile frame generation into its own file.,52,1,1,1,0,1,1,1,5,2,0,0,1,1,1,72,43,good,,
28,https://github.com/torvalds/subsurface-for-dirk/commit/1d69524a7889ffa74a3e28004d9096524834053a,"Get rid of now unused 'show_dive()' function

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Get rid of now unused 'show_dive()' function,44,1,1,1,1,1,1,0,1,1,0,1,1,-1,-1,0,27,good,,
29,https://github.com/torvalds/subsurface-for-dirk/commit/77cfe07c52d25554779c60d37e4a55e34a0164f2,"Split up divelist scroll window generation into its own file

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Split up divelist scroll window generation into its own file,60,1,1,1,1,1,1,1,4,3,0,0,-1,-1,-1,63,53,good,,
30,https://github.com/torvalds/subsurface-for-dirk/commit/de8dc53f755e9872d822f1652d105fa5ef48c6df,"Don't newline-terminate the dive name

That resulted in ugly lists, and it was wrong to begin with.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Don't newline-terminate the dive name,37,1,1,1,1,0,1,1,1,1,0,0,-1,-1,-1,1,1,good,,
31,https://github.com/torvalds/subsurface-for-dirk/commit/23e831a6ed61878240897cd6a7b276526a3f4ba4,"Re-do the tree selection code with a selection callback

Learnign gtk by looking at cairo examples? It's one way.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Re-do the tree selection code with a selection callback,55,1,1,1,1,0,1,0,1,4,0,0,0.38,1,1,41,24,good,,
32,https://github.com/torvalds/subsurface-for-dirk/commit/2044dabc81062c22c7f95a2e0e57f931cee0205f,"Teach the thing to actually track the currently selected dive

.. and repaint the profile when the selection changes.

Now, if it just wasn't so ugly, it might even be useful.  Except it
obviously needs to also show all the other dive information.  And allow
the user to fill in details.  And save the end results.

So no, it's not useful.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Teach the thing to actually track the currently selected dive,61,1,1,1,1,1,1,1,4,6,0,0,0.86,1,1,17,4,good,,
33,https://github.com/torvalds/subsurface-for-dirk/commit/6cc122f491ca9a069dbd226b9fe7529dbcf61058,"Add 'repaint_dive()' prototype, and fix dependencies

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>","Add 'repaint_dive()' prototype, and fix dependencies",52,0,1,1,1,1,1,1,2,0,0,-1,-1,-1,-1,4,3,good,,
34,https://github.com/torvalds/subsurface-for-dirk/commit/7017d17562fe803946ef9e0d8e9af9611bc43ba5,"Use a gtk table instead of hbox

We'll want to add various dive statistics, so...  Without them, it all
looks pretty much the same, though.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Use a gtk table instead of hbox,31,1,1,1,1,1,1,1,2,2,0,0,-1,-1,-1,10,9,good,,
35,https://github.com/torvalds/subsurface-for-dirk/commit/a11dbbdb1856a05b97e872fd732682d9bf8ef49b,"Add fake 'info' frame contents

It should have depth, time, place etc information, but right now it only
has a fake depth that doesn't even get updated.  Just to show the idea
of the table usage.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add fake 'info' frame contents,30,1,1,1,1,1,1,1,4,1,0,0,0.88,1,1,36,2,good,,
36,https://github.com/torvalds/subsurface-for-dirk/commit/eed9538101a97142d8327119b9539f847f818198,"Plot dive profile slightly more intelligently.

This actually creates a bounding box and some scale markers.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Plot dive profile slightly more intelligently.,46,1,1,1,0,1,1,0,1,4,0,0,0.52,0.18,1,82,15,neutral,1,
37,https://github.com/torvalds/subsurface-for-dirk/commit/059f047788a9549e448f6e9f108a9f55b81ee64c,"plot a fancier 'filled' depth profile

Now I'm just dicking around with cairo.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",plot a fancier 'filled' depth profile,37,1,1,0,1,1,1,1,1,1,0,1,-1,-1,1,12,1,good,,
38,https://github.com/torvalds/subsurface-for-dirk/commit/ee56021dfbc3bcc12f5917cdf481cc96c51a2b89,"dive profile plot: use saner minimum limits

The time minimum was in seconds, not minutes, and we really do want to
show at least to 90ft to make shallow dives look shallow rather than
scaled to some full depth.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",dive profile plot: use saner minimum limits,43,1,1,0,1,1,1,1,1,2,0,0,-1,-1,-1,8,3,good,,
39,https://github.com/torvalds/subsurface-for-dirk/commit/c7e29063722a57211e00acc5ee98e05c37f89a99,"dive parsing: enforce maxdepth and dive duration

If we see samples from past the dive duration, update the dive duration.
Likewise with maxdepth.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",dive parsing: enforce maxdepth and dive duration,48,0,1,0,1,1,1,1,1,1,0,0,1,1,1,10,1,good,,
40,https://github.com/torvalds/subsurface-for-dirk/commit/a39b2ee220cd23d4d6ed52f23e50fee0d4381a93,"Add some more dive info - and actually update it

It's still the ugliest application ever, but now it at least gives you
some basic dive info.

I'd love to add a way to edit the dives to add new data (name, buddies,
location etc), but that would also require the ability to save the end
result.  Maybe some day.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add some more dive info - and actually update it,48,0,1,1,1,1,1,1,3,3,0,0,-1,1,1,41,2,good,,
41,https://github.com/torvalds/subsurface-for-dirk/commit/c17300cfaa7dcc95b70112281491b8fb1a530f8e,"Use a 'notebook' for Info vs Profile

I dunno.  This seems a better interface at least if we get more info for
the dive, but I suspect I'll want to the add basic info to the profile
page too.

This makes the 'table' approach to layout be kind of pointless again,
and the table has become a fancy vbox.  Maybe I'll put the core info
back, and use the notebook 'Info' page for extended information.

I should just bite the bullet and start saving the dive data, and adding
editing functions for adding information.  But instead I'm playing
around with random gtk widgets.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Use a 'notebook' for Info vs Profile,36,1,1,1,1,1,1,1,1,1,0,0,-1,1,1,10,5,good,,
42,https://github.com/torvalds/subsurface-for-dirk/commit/00d798854aa2594b819f50dc135efca96a93adb9,"Start cleaning up dive accessors

I'm going to add a menu to import (and eventually export) dives, and so
we'd like to be able to start out with no dives at all.  Right now we
croak if that happens - it's not like the code has been written with
actual end users in mind.

So start cleaning things up.  First make the 'current_dive' macro work
right even for invalid dives.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start cleaning up dive accessors,32,1,1,1,1,1,1,1,2,1,0,0,1,1,1,9,2,good,,
43,https://github.com/torvalds/subsurface-for-dirk/commit/968aa28155b3a55b558d16e3a46dfd5c887dc3c6,"Do something half-way sane (no SIGSEGV) when there are no dives

It just leaves ugly blank areas, but whatever.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Do something half-way sane (no SIGSEGV) when there are no dives,63,1,1,1,1,1,1,1,2,2,0,0,-1,1,1,9,2,good,,
44,https://github.com/torvalds/subsurface-for-dirk/commit/1c010afc88897e0a5a7293cff81ae2875fa91838,"Add a top 'File' menu

It doesn't actually *do* anything, but what else is new?

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add a top 'File' menu,21,1,1,1,1,1,1,1,1,4,0,0,0.73,1,1,38,1,good,,
45,https://github.com/torvalds/subsurface-for-dirk/commit/3d01a5f71a29a8b7ce2a3648130660dabe62fae9,"Boiler-plate code for opening/saving a file

All just copied from the gtk docs.  No actual loading or saving is
taking place, though.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Boiler-plate code for opening/saving a file,43,1,1,1,1,0,1,1,1,3,0,0,-1,1,1,40,0,good,,
46,https://github.com/torvalds/subsurface-for-dirk/commit/23c6a42b084fbd1affbf7cc1b3f5e94fb15d3a92,"Make the main display saner

This tweaks:
 - packing to be what you'd kind of expect
 - makes the ""summary info"" always visible
 - the ""extended info"" is now on a notebook page of its own
 - dive profile the first notebook page, since the summary
   information is visible regardless.
which all just seems a lot more logical.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Make the main display saner,27,1,1,1,1,1,1,0,3,3,0,0.33,0.85,1,1,29,11,good,,
47,https://github.com/torvalds/subsurface-for-dirk/commit/feec55504084baf022517d39e72431b4d361a217,"Add some extended dive info fields

.. and tweak the basic info layout a bit.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add some extended dive info fields,34,1,1,1,1,1,1,1,2,7,0,0,1,1,1,53,22,good,,
48,https://github.com/torvalds/subsurface-for-dirk/commit/4350a75b9455387c0da36b9b52349a858d8fca9c,"Rename some files to be more appropriate

The executable is now called 'divelog'.  If this gets useful enough to
actually *use*, I guess I'll have to come up with a real name some day.

Add a silly README, rename 'parse' to 'parse-xml'.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Rename some files to be more appropriate,40,1,1,1,1,1,1,1,3,0,0.33,-1,-1,-1,-1,11,5,good,,
49,https://github.com/torvalds/subsurface-for-dirk/commit/da4edbcce81a9a90e414bc6281183df154019b0c,"xml parsing: start traversing properties too

This requires us to change the way we match things up, because now we
can have things like

   dives.dive.sample.event.time

and

   dives.dive.sample.time

and they are different things (that ""sample.event.time"" is a 'time'
property of the 'event').

Now, this is always going to be ambiguous, since our linearized name of
the xml doesn't really care whether it's a xml node ""child"" or a
""property"", but quite frankly, I don't care. XML just isn't worth the pain.

In fact, maybe this ambiguity can end up being a good thing.  We will
parse these two different lines of XML the same way:

  <dive><sample><time>50</time><depth>10.8</depth></sample></dive>

  <dive><sample time=""50"" depth=""10.8""></sample></dive>

and the attribute approach seems to be the nicer one.  Maybe I'll use
that for the output format.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",xml parsing: start traversing properties too,44,1,1,0,1,1,0,1,1,12,0,0.17,0.94,0.35,0.88,69,44,neutral,1,
50,https://github.com/torvalds/subsurface-for-dirk/commit/14d7601cdf8b5ba05c7889f6272fdad3fee03c80,"Get rid of our 'ignore' rules

I'll start doing some kind of ""save unparsed things as extended items""
thing, and the ignore rules were just there to get rid of some of the
noise from early parsing.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Get rid of our 'ignore' rules,29,1,1,1,1,1,1,0,1,2,0,0.5,0.77,0.77,0.77,0,14,good,,
51,https://github.com/torvalds/subsurface-for-dirk/commit/97419131248aacc96278ba7022b39af32359c26c,"Start parsing gas mixes

The suunto xml is just completely crazy.  What's the helium percentage
companion to ""o2pct""? Would it be ""hepct""? No. It's ""hepct_0"".

Ok, so they didn't number the first o2pct, which could be seen as sane:
that's the only mix value that should always exist.  And they clearly
started their indexing with 0.  So with multiple mixes, you'd then
expect ""o2pct_1"" and ""hepct_1"", right?

Wrong! Because XML people are crazy, the second O2 mix percentage is
obviously ""o2pct_2"".  So the O2 percentages are one-based, with an
implicit one.  But the He percentages are zero-based with an explicit
zero.  So the second mix is ""o2pct_2"" and ""hepct_1"".

I'd like to ask what drugs Suunto people are on, but hey, it's a Finnish
company.  No need to ask.  Vodka explains everything.  LOTS AND LOTS OF
VODKA.

In comparison, the libdivecomputer output is nice and sane, and uses a
'gasmix' node.  Of course, now we have so many different XML nesting
nodes to check that I just made it an array of different noces.  That
also allows me to mark the suunto case, so that we only do the ""check
for crazy alcoholic xml entries"" when it's a suunto file.

The ""type of file"" thing is probably a good idea for deciding on default
units too. Some day.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start parsing gas mixes,23,1,1,1,1,1,1,1,2,13,0,0.08,0.62,0.7,0.43,119,21,good,,
52,https://github.com/torvalds/subsurface-for-dirk/commit/adc7280c025e68f6d55d779ad56712cb17aa3ae7,"libdivecomputer does crazy gas mixes too

Did I just say ""In comparison, the libdivecomputer output is nice and
sane""?

It turns out that libdivecomputer has been doing some drugs too when it
comes to gas mixes.  Like showing O2 percentages as 255.0% and N2
percentages as -155.0%.

Clearly libdivecomputer uses a 'unsigned char' for oxygen percentage,
and makes ""-1"" be ""undefined"".  And then it prints that non-existing mix
out, and in the process does MATH on the damn thing (""100-O2"") to
""calculate"" the nitrogen percentage.

Christ.

Just make the parser silently ignore the craziness, because printing out
""Strange percentage reading -155.0"" a few hundred times just doesn't
make anything any better.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",libdivecomputer does crazy gas mixes too,40,1,1,0,1,0,1,0,1,1,0,0,1,1,1,3,0,neutral,,
53,https://github.com/torvalds/subsurface-for-dirk/commit/d5e42d485e6c4a62b78281aac900bb447d811ab1,"gasmix: stop tracking nitrogen percentages

The only thing you can do with that thing is screw things up (like
libdivecomputer did).  There's no value in tracking the ""filler"" gas,
since you can always just calculate it from the gases that actually
matter.

So just track Oxygen and Helium - and make sure they have sane values.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",gasmix: stop tracking nitrogen percentages,42,1,1,0,1,1,1,1,2,4,0,0,0.15,1,0.15,36,2,good,,
54,https://github.com/torvalds/subsurface-for-dirk/commit/1155ad3f0fb2471163335d1d7c6856a81f495e49,"Add ability to 'save' dives

This just generates another xml file.  Don't get me wrong: I still don't
like xml, but this way we can save in the same format we load things
from.  Except the save-format is a *lot* cleaner than the abortion that
is Suunto or libdivecomputer xml.

Don't bother with some crazy xml library crap for saving. Just do it!

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add ability to 'save' dives,27,1,1,1,1,1,1,1,4,1,0,0,1,0.82,1,97,2,good,,
55,https://github.com/torvalds/subsurface-for-dirk/commit/99c111e34833bb7b8af2ad5a6494790191b18e2c,"Fix up small details in input/output

Be more careful with FP conversions, and with the Kelvin<->C offset.
And make sure to use the same names when saving as when parsing.

Now when we save a set of dives, then re-load them, and save again, the
second save image is identical to the first one.

Of course, we don't actually save everything we load, so we still do
lose information when we load and then save the result.  But at least we
now don't lose the information that we *do* save.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fix up small details in input/output,36,1,1,1,1,1,1,1,2,6,0,0,0.33,0.33,0.33,7,4,good,,
56,https://github.com/torvalds/subsurface-for-dirk/commit/1376712f0bc952e33a42121570c64add6a2a9446,"Save everything in our current dives and samples into the xml file

Now, as we start parsing more, we just need to also add the code to save
it.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Save everything in our current dives and samples into the xml file,66,0,1,1,1,1,1,1,1,5,0,0,1,0.21,1,27,5,good,,
57,https://github.com/torvalds/subsurface-for-dirk/commit/5001ab66cba885411e9ee4e8c701688b4928ab1d,"Teach the date parser to also parse the international standard date format

The standard way to write a date is yyyy-mm-dd, which is unambiguous and
sorts correctly.

We parsed that right in the 'datetime' case, but not in the normal date
case.  And we do want to use that in our output format, exactly because
it's standard.

And also parse 'duration' for the dive duration.  It's what we use when
saving, it just so happened that we ended up not parsing it right, but
then picking it up from the samples instead.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Teach the date parser to also parse the international standard date format,74,1,1,1,1,1,0,1,1,2,0,0,-1,0.82,0.82,15,2,neutral,,
58,https://github.com/torvalds/subsurface-for-dirk/commit/adc92d6de2ee1c71e88b66fb9c41e52de8cf4ea1,"Always use proper units when saving.

When we see a number like 23.145, we'd better always also see a unit.
It's just good practice.  So add 'min' to duration (and use only two
digits for number of seconds), and 'm' to depth.

And write the date in international standard format.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Always use proper units when saving.,36,1,1,1,0,0,1,1,1,3,0,0,-1,-1,-1,4,4,neutral,,
59,https://github.com/torvalds/subsurface-for-dirk/commit/c139aa8d51ef63a79cf8eeb809621ad06b72b808,"Clean up save-file output a bit

Use the ""empty element"" form for samples that don't have any events
associated with them (and none do, right now).  This avoids that
annoying ""</sample>"" crud.

And output the units in the output helpers, so that you can't forget
them even if you try.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Clean up save-file output a bit,31,1,1,1,1,1,1,1,1,6,0,0,-1,-1,-1,15,15,good,,
60,https://github.com/torvalds/subsurface-for-dirk/commit/0189de695c1b361a1ef85c0523a50f2abc5f0dbf,"Do gasmix as an empty element XML too

Let's make it a goal that the XML we output is pretty.  That clearly was
never a goal for the Suunto XML, but we can be oh-so-much-better than that.

I still don't love XML, but let's try to make the best of a bad situation,
and take pride in what we do.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Do gasmix as an empty element XML too,37,1,1,1,1,1,0,1,1,1,0,0,-1,-1,-1,1,1,good,,
