number,link,Message,Subject Line,character count,subject_len,and_or_count,Blank Line,Capital,dot,imperative,wrap,verb_direct_obj,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters
51,https://github.com/torvalds/subsurface-for-dirk/commit/14d7601cdf8b5ba05c7889f6272fdad3fee03c80,"Get rid of our 'ignore' rules

I'll start doing some kind of ""save unparsed things as extended items""
thing, and the ignore rules were just there to get rid of some of the
noise from early parsing.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Get rid of our 'ignore' rules,29,2,1,1,1,1,1,1,0,1,2,0.0,0.5,0.7692307692307693,0.7692307692307693,0.7692307692307693
52,https://github.com/torvalds/subsurface-for-dirk/commit/97419131248aacc96278ba7022b39af32359c26c,"Start parsing gas mixes

The suunto xml is just completely crazy.  What's the helium percentage
companion to ""o2pct""? Would it be ""hepct""? No. It's ""hepct_0"".

Ok, so they didn't number the first o2pct, which could be seen as sane:
that's the only mix value that should always exist.  And they clearly
started their indexing with 0.  So with multiple mixes, you'd then
expect ""o2pct_1"" and ""hepct_1"", right?

Wrong! Because XML people are crazy, the second O2 mix percentage is
obviously ""o2pct_2"".  So the O2 percentages are one-based, with an
implicit one.  But the He percentages are zero-based with an explicit
zero.  So the second mix is ""o2pct_2"" and ""hepct_1"".

I'd like to ask what drugs Suunto people are on, but hey, it's a Finnish
company.  No need to ask.  Vodka explains everything.  LOTS AND LOTS OF
VODKA.

In comparison, the libdivecomputer output is nice and sane, and uses a
'gasmix' node.  Of course, now we have so many different XML nesting
nodes to check that I just made it an array of different noces.  That
also allows me to mark the suunto case, so that we only do the ""check
for crazy alcoholic xml entries"" when it's a suunto file.

The ""type of file"" thing is probably a good idea for deciding on default
units too. Some day.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Start parsing gas mixes,23,2,1,1,1,1,1,1,1,2,13,0.0,0.07692307692307693,0.6190476190476191,0.6984126984126984,0.42857142857142855
53,https://github.com/torvalds/subsurface-for-dirk/commit/adc7280c025e68f6d55d779ad56712cb17aa3ae7,"libdivecomputer does crazy gas mixes too

Did I just say ""In comparison, the libdivecomputer output is nice and
sane""?

It turns out that libdivecomputer has been doing some drugs too when it
comes to gas mixes.  Like showing O2 percentages as 255.0% and N2
percentages as -155.0%.

Clearly libdivecomputer uses a 'unsigned char' for oxygen percentage,
and makes ""-1"" be ""undefined"".  And then it prints that non-existing mix
out, and in the process does MATH on the damn thing (""100-O2"") to
""calculate"" the nitrogen percentage.

Christ.

Just make the parser silently ignore the craziness, because printing out
""Strange percentage reading -155.0"" a few hundred times just doesn't
make anything any better.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",libdivecomputer does crazy gas mixes too,40,2,1,1,0,1,0,1,0,1,1,0.0,0.0,1.0,1.0,1.0
54,https://github.com/torvalds/subsurface-for-dirk/commit/d5e42d485e6c4a62b78281aac900bb447d811ab1,"gasmix: stop tracking nitrogen percentages

The only thing you can do with that thing is screw things up (like
libdivecomputer did).  There's no value in tracking the ""filler"" gas,
since you can always just calculate it from the gases that actually
matter.

So just track Oxygen and Helium - and make sure they have sane values.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",gasmix: stop tracking nitrogen percentages,42,2,1,1,0,1,1,1,1,2,4,0.0,0.0,0.15384615384615385,1.0,0.15384615384615385
55,https://github.com/torvalds/subsurface-for-dirk/commit/1155ad3f0fb2471163335d1d7c6856a81f495e49,"Add ability to 'save' dives

This just generates another xml file.  Don't get me wrong: I still don't
like xml, but this way we can save in the same format we load things
from.  Except the save-format is a *lot* cleaner than the abortion that
is Suunto or libdivecomputer xml.

Don't bother with some crazy xml library crap for saving. Just do it!

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add ability to 'save' dives,27,2,1,1,1,1,1,1,1,4,1,0.0,0.0,1.0,0.8235294117647058,1.0
56,https://github.com/torvalds/subsurface-for-dirk/commit/99c111e34833bb7b8af2ad5a6494790191b18e2c,"Fix up small details in input/output

Be more careful with FP conversions, and with the Kelvin<->C offset.
And make sure to use the same names when saving as when parsing.

Now when we save a set of dives, then re-load them, and save again, the
second save image is identical to the first one.

Of course, we don't actually save everything we load, so we still do
lose information when we load and then save the result.  But at least we
now don't lose the information that we *do* save.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fix up small details in input/output,36,2,1,1,1,1,1,1,1,2,6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
57,https://github.com/torvalds/subsurface-for-dirk/commit/1376712f0bc952e33a42121570c64add6a2a9446,"Save everything in our current dives and samples into the xml file

Now, as we start parsing more, we just need to also add the code to save
it.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Save everything in our current dives and samples into the xml file,66,1,0,1,1,1,1,1,1,1,5,0.0,0.0,1.0,0.21052631578947367,1.0
58,https://github.com/torvalds/subsurface-for-dirk/commit/5001ab66cba885411e9ee4e8c701688b4928ab1d,"Teach the date parser to also parse the international standard date format

The standard way to write a date is yyyy-mm-dd, which is unambiguous and
sorts correctly.

We parsed that right in the 'datetime' case, but not in the normal date
case.  And we do want to use that in our output format, exactly because
it's standard.

And also parse 'duration' for the dive duration.  It's what we use when
saving, it just so happened that we ended up not parsing it right, but
then picking it up from the samples instead.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Teach the date parser to also parse the international standard date format,74,0,1,1,1,1,1,0,1,1,2,0.0,0.0,N/A,0.8181818181818182,0.8181818181818182
59,https://github.com/torvalds/subsurface-for-dirk/commit/adc92d6de2ee1c71e88b66fb9c41e52de8cf4ea1,"Always use proper units when saving.

When we see a number like 23.145, we'd better always also see a unit.
It's just good practice.  So add 'min' to duration (and use only two
digits for number of seconds), and 'm' to depth.

And write the date in international standard format.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Always use proper units when saving.,36,2,1,1,1,0,0,1,1,1,3,0.0,0.0,N/A,N/A,N/A
60,https://github.com/torvalds/subsurface-for-dirk/commit/c139aa8d51ef63a79cf8eeb809621ad06b72b808,"Clean up save-file output a bit

Use the ""empty element"" form for samples that don't have any events
associated with them (and none do, right now).  This avoids that
annoying ""</sample>"" crud.

And output the units in the output helpers, so that you can't forget
them even if you try.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Clean up save-file output a bit,31,2,1,1,1,1,1,1,1,1,6,0.0,0.0,N/A,N/A,N/A
61,https://github.com/torvalds/subsurface-for-dirk/commit/0189de695c1b361a1ef85c0523a50f2abc5f0dbf,"Do gasmix as an empty element XML too

Let's make it a goal that the XML we output is pretty.  That clearly was
never a goal for the Suunto XML, but we can be oh-so-much-better than that.

I still don't love XML, but let's try to make the best of a bad situation,
and take pride in what we do.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Do gasmix as an empty element XML too,37,2,1,1,1,1,1,0,1,1,1,0.0,0.0,N/A,N/A,N/A
62,https://github.com/torvalds/subsurface-for-dirk/commit/22fcef2ec7fd1efd3d1df2aba2b7b3af5d463288,"Save and parse notes and locations

It's pretty rough, but it seems to work.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Save and parse notes and locations,34,2,0,1,1,1,1,1,1,4,12,0.0,0.0,0.35294117647058826,0.6352941176470588,0.43529411764705883
63,https://github.com/torvalds/subsurface-for-dirk/commit/bafc7e771ed3f7cfa2589772a7ab66821c0bab75,"We can't save escape characters.

I think it should be legal xml, but whatever.  libxml2 is very unhappy,
and complains when loading - even if I escape them.  So let's just
replace the low escape characters with '?'.

The only thing to ever care was my test-case, I suspect.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",We can't save escape characters.,32,2,1,1,1,0,0,1,1,1,1,0.0,0.0,N/A,1.0,N/A
64,https://github.com/torvalds/subsurface-for-dirk/commit/f7fb74f3a78b4fbf561eb91548cf3e355af9b8b1,"Fix wrongly nested watertemp xml entry

Too much cut-and-paste: the ending tag said ""airtemp"".

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fix wrongly nested watertemp xml entry,38,2,1,1,1,1,1,1,1,1,1,0.0,0.0,N/A,N/A,N/A
65,https://github.com/torvalds/subsurface-for-dirk/commit/2cd2cafdf4fc1ea37872f172a62d3d38220adf64,"Generate 'watertemp' field from samples if required

Sure, it's redundant, but it's convenient for the general dive info.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Generate 'watertemp' field from samples if required,51,1,1,1,1,1,1,1,1,1,1,0.0,0.0,N/A,1.0,N/A
66,https://github.com/torvalds/subsurface-for-dirk/commit/8042246df6f7673873e02f5255029370b1f42e3c,"Show temperature in the info summary

If it exists, it really does help identify the dive.  At least it does
for me: ""local or Maui""?

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Show temperature in the info summary,36,2,1,1,1,1,1,1,0,1,2,0.0,0.0,N/A,1.0,1.0
67,https://github.com/torvalds/subsurface-for-dirk/commit/d9106995d39138dbce5f3306a391361f68ce0a07,"Hack up some very rudimentary support for the Uemis xml format

I think I'll need to re-organize the handling of per-format code, but
for now we just mix it all up.

The uemis conversion is also questionable even for just the small parts
I do.  Does it really do ""centiPSI""? That sounds crazy.  I'm waiting for
Dirk to send me some actual human-readable output from the dives, right
now some of it is just rough guesses.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Hack up some very rudimentary support for the Uemis xml format,62,1,1,1,1,1,1,1,1,1,20,0.0,0.0,0.7413793103448276,0.8017241379310345,0.8448275862068966
68,https://github.com/torvalds/subsurface-for-dirk/commit/9506c4bf0a6626b81ae5fad25fb26cf57d9ce8fe,"Use 'units' value instead of guessing based on integer/FP

We still end up guessing based on magnitude of the value, though: it
might be 'bar' or 'mbar', we end up picking one or the other based on
just how big the value is.

I should make it look at any possible explicit units too, since at least
with good xml, they exist.  Of course, the only good xml I've seen so
far is the one we generate ourselves ;)

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Use 'units' value instead of guessing based on integer/FP,57,1,1,1,1,1,1,1,0,1,7,0.0,0.0,0.5,N/A,0.25
69,https://github.com/torvalds/subsurface-for-dirk/commit/a5e4c7ffd1da2e58d0d283389e0d9a0ffce7e783,"Silently ignore zero pressure

Don't complain about them, they're just missing values

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Silently ignore zero pressure,29,2,1,1,1,1,0,1,1,1,1,0.0,1.0,N/A,1.0,N/A
70,https://github.com/torvalds/subsurface-for-dirk/commit/ef0d00e76a2343f5d730eff3381d6715e3134ae8,"Improve uemis xml parsing a bit

It looks like the ""units.pressure"" setting is only about the units that
things are *shown* in on the wrist computer: the units in the file are
always in bar (or rather, centi-bar).

Which is definitely the right thing to do, and means that we shouldn't
care about parsing the units setting.  It's purely about how something
is shown, not about parsing.

That's probably true of the other units too, but let's see when I have
more data to go on.

Also, parse water temperatures and tank pressure.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Improve uemis xml parsing a bit,31,2,1,1,1,1,1,1,1,1,7,0.0,0.0,1.0,0.8333333333333334,0.6944444444444444
71,https://github.com/torvalds/subsurface-for-dirk/commit/5f05173e793d49319c727240014b59a04bd4075c,"Do a dive de-dup pass

If given multiple dives at the same time, just de-dup the dives.  This
happens when you've dumped the whole dive-computer several times, and
some dives show up in multiple dumps.

When de-duping, try to avoid dropping data.  So if one dive has notes
attached to it, and the other one does not, pick the notes from the dive
that does have them.  Obvious stuff like that.

The sample merge is also written so that it should be possible to merge
two dives. Which we don't actually do yet.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Do a dive de-dup pass,21,2,1,1,1,1,1,1,1,3,7,0.0,0.0,0.08461538461538462,0.5,0.5076923076923077
72,https://github.com/torvalds/subsurface-for-dirk/commit/3def2b1aacd9c018f1bfe9b7f8bce467239cc3b0,"Add location note to the top bar too.

I really don't understand the packing rules.  This does not look like
what I intended.

Oh well.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add location note to the top bar too.,37,2,1,1,1,0,1,1,1,1,4,0.0,0.0,N/A,0.3,1.0
73,https://github.com/torvalds/subsurface-for-dirk/commit/f8e39675cccd01b4b76d88b0f9bef922fce3e8f3,"Update README a bit

..since this is now on github, might as well tell people what they need
to compile it, and warn them about the state of the project.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Update README a bit,19,1,1,1,1,1,1,1,1,1,0,1.0,N/A,N/A,N/A,N/A
74,https://github.com/torvalds/subsurface-for-dirk/commit/1e75ceac0dbbf6a6eef1e13f076c3ae6a7af4c55,"Add various dive fixups, and show pressure (if any) in the plot

Now the dive profile plot *really* needs some units.  The pressure is
just a random line otherwise.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>","Add various dive fixups, and show pressure (if any) in the plot",63,1,0,1,1,1,1,1,1,6,12,0.0,0.16666666666666666,0.06930693069306931,0.44554455445544555,0.39603960396039606
75,https://github.com/torvalds/subsurface-for-dirk/commit/2804dc42d81a728c62b173f55bbfc075cf643a00,"Only update mean/max depths with computed ones if they are way off

The computer may track ""real"" max depth more closely than it tracks
samples.  So we trust the non-computed mean/max depths more than the
computed ones.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Only update mean/max depths with computed ones if they are way off,66,1,1,1,1,1,0,1,0,1,2,0.0,0.0,1.0,1.0,1.0
76,https://github.com/torvalds/subsurface-for-dirk/commit/c1bed52a777fb8d03e056afddf7879af7b94d157,"Add 'mean depth' marker on dive plot

Just because I can.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add 'mean depth' marker on dive plot,36,2,1,1,1,1,1,1,1,1,1,0.0,0.0,N/A,N/A,1.0
77,https://github.com/torvalds/subsurface-for-dirk/commit/f31e17a0ae69696ce338bbb79dc4afba89bf8d5f,dive.c: Fix spelling.,dive.c: Fix spelling.,21,2,1,1,1,0,1,1,0,1,0,1.0,N/A,N/A,N/A,N/A
78,https://github.com/torvalds/subsurface-for-dirk/commit/b176daf6d6d169bfa9b811687bd7696b1bb6063f,"Do better cylinder information management

Instead of just tracking gasmix, track the size and workng pressure of
the cylinder too.

And use ""cylinder"" instead of ""tank"" throughout.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Do better cylinder information management,41,2,1,1,1,1,1,1,1,5,30,0.0,0.03333333333333333,0.6333333333333333,0.6,0.5
79,https://github.com/torvalds/subsurface-for-dirk/commit/4d62478e14fe8bef8ae88a55b0864217b400b719,"Use the newer GtkUIManager for menu creation.

Signed-off-by: Nathan Samson <nathansamson@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Use the newer GtkUIManager for menu creation.,45,2,1,1,1,0,1,1,1,1,1,0.0,0.0,1.0,1.0,1.0
80,https://github.com/torvalds/subsurface-for-dirk/commit/3a04342607a9fa7255be60ee5d4b8a816ecb7b0a,"Improve the layout of the text entries in gtk3. For gtk2 this could also be useful

Signed-off-by: Nathan Samson <nathansamson@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Improve the layout of the text entries in gtk3. For gtk2 this could also be useful,82,0,1,1,1,1,1,0,1,1,1,0.0,0.0,1.0,N/A,1.0
81,https://github.com/torvalds/subsurface-for-dirk/commit/6fd86ab6b7784e11f67c879b51c37c6e0011416f,"Don't bother saving n2 percentage

It's all calculated anyway, and for the same reason we don't bother even
parsing it at load time, we really shouldn't bother saving it either.

The only thing you can do with that value is ""check if the percentages
add up to 100%"", and so what?

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Don't bother saving n2 percentage,33,2,1,1,1,1,0,1,1,1,1,0.0,0.0,1.0,N/A,1.0
82,https://github.com/torvalds/subsurface-for-dirk/commit/a6b9eaee0aa2ff67482560f4401e0dc6f2c79237,"Add 'Quit' menu item, and fix invisible ""File"" on gtk2

I didn't even notice that the ""File"" part of the file menu no longer
showed up, since the keyboard accelerator for ^S worked fine..  But
apparently there's no default label associated with GTK_STOCK_FILE in
gtk2, so the ""File"" text went away with the conversion to GtkUIManager
in commit 4d62478e14fe (""Use the newer GtkUIManager for menu creation."")

The addition of a Quit menu entry with the associated keyboard
accelerator also makes ^Q ""just work"".

Of course, if we actually tracked dirty state etc, we could perhaps ask
the user whether they wanted to save or something.  But I'm not exactly
famous for my GUI chops, so ..

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>","Add 'Quit' menu item, and fix invisible ""File"" on gtk2",54,1,0,1,1,1,1,1,1,1,2,0.0,0.0,1.0,1.0,1.0
83,https://github.com/torvalds/subsurface-for-dirk/commit/5ea6b229f88aa5dacb80fedf9d316c31584c429d,"Change location to a text entry instead of text view.

Signed-off-by: Nathan Samson <nathansamson@gmail.com>",Change location to a text entry instead of text view.,53,1,1,1,1,0,1,1,1,1,6,0.0,0.0,1.0,1.0,1.0
84,https://github.com/torvalds/subsurface-for-dirk/commit/14547d8ca26fb91b145c6051e541863fb89b76b5,"Word wrap the info textview. Also do not show the scrollbars if not necessary.

Signed-off-by: Nathan Samson <nathansamson@gmail.com>",Word wrap the info textview. Also do not show the scrollbars if not necessary.,78,0,1,1,1,0,1,0,1,1,1,0.0,0.0,N/A,N/A,1.0
85,https://github.com/torvalds/subsurface-for-dirk/commit/f12382c66f2b3deddf38f7d51fda3a2c75a0c5fa,"Removed the unused startemp and enttemp calculations. This fixes a compiler warning too.

Signed-off-by: Nathan Samson <nathansamson@gmail.com>",Removed the unused startemp and enttemp calculations. This fixes a compiler warning too.,88,0,0,1,1,0,0,0,1,1,1,0.0,0.0,1.0,N/A,1.0
86,https://github.com/torvalds/subsurface-for-dirk/commit/a57668127eb0e00bc467ae0fc487592e95c17227,"Oops. I forgot to 'fclose()' the file after saving the xml

It never actually triggered anything for me, but any buffered data might
be lost, especially if you force-exit the application after saving a
dive log.

This probably explains a corrupted (truncated) dive file report from
Nathan Samson.

Reported-by: Nathan Samson <https://github.com/nathansamson>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Oops. I forgot to 'fclose()' the file after saving the xml,58,1,1,1,1,1,0,1,1,1,1,0.0,0.0,1.0,1.0,1.0
87,https://github.com/torvalds/subsurface-for-dirk/commit/797343bf8ac6105f9566ce0d662f4289d5d9d410,"Update gitignore for the name-change of the executable

It's not called 'parse' any more.  And I think I should rename 'divelog'
too to something more unique.  Right now the working name for the
project is 'diveclog' (kind of like 'jdivelog') , but I'm not convinced
that the ""C implementation"" part is really important enough to make a
point of long-term.

""subsurface""? I don't know.  Maybe I should follow the ""name all
projects after myself"" mantra.  ""divenut""?

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Update gitignore for the name-change of the executable,54,1,1,1,1,1,1,1,1,1,0,0.0,N/A,N/A,N/A,N/A
88,https://github.com/torvalds/subsurface-for-dirk/commit/1117cd37d71e294069a670bdf0851041575e0d5f,"Use a pane so the dive list can be made wider or smaller to the users wishes

Signed-off-by: Nathan Samson <nathansamson@gmail.com>",Use a pane so the dive list can be made wider or smaller to the users wishes,76,0,0,1,1,1,1,0,1,1,1,0.0,0.0,1.0,N/A,N/A
89,https://github.com/torvalds/subsurface-for-dirk/commit/6138d151e9156bdf15843b1b54104428c5124e38,"Remove the redundant frames in the notebook. Closes #9

Signed-off-by: Nathan Samson <nathansamson@gmail.com>",Remove the redundant frames in the notebook. Closes #9,54,1,1,1,1,1,1,1,1,4,5,0.0,0.0,N/A,N/A,N/A
90,https://github.com/torvalds/subsurface-for-dirk/commit/23a6607ae7ce9335be736c3400e4b8d77744af16,"Fix typo in Makefile (LDLAGS -> LDFLAGS)

Reported-by: Konrad Delong <https://github.com/konryd>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fix typo in Makefile (LDLAGS -> LDFLAGS),40,2,1,1,1,1,1,1,1,1,0,1.0,N/A,N/A,N/A,N/A
91,https://github.com/torvalds/subsurface-for-dirk/commit/c4514b062a9866153c179d4b6ecf7972c9496891,"Some UI beauty patches:

Uppercase first letter for each label word
Tweak the paddings for easier reading
Rename File menu to Log menu
Add a separator before Quit in the Log menu
Remove frame in extended diving info and add 6px padding

Signed-off-by: Hylke Bons <hylkebons@gmail.com>",Some UI beauty patches:,23,2,1,1,1,1,0,1,0,3,4,0.0,0.0,N/A,N/A,N/A
92,https://github.com/torvalds/subsurface-for-dirk/commit/31123f63af0a2b6a9756b8496f56359d1c68a645,"Split the dive list in columns. Columns are sortable now (name = date, depth, duration)

Signed-off-by: Nathan Samson <nathansamson@gmail.com>","Split the dive list in columns. Columns are sortable now (name = date, depth, duration)",87,0,1,1,1,1,1,0,1,2,4,0.0,0.0,N/A,1.0,1.0
93,https://github.com/torvalds/subsurface-for-dirk/commit/9961c7f89ce6353609383b16b9fbf3a30e4d8604,"Remove redundant temperature readings

I'm aiming to really differentiate in dive log software by making my XML
export files be *clean*, dammit.

That means that we don't have random names, we don't have crazy random
units, and we don't have redundant information.

So when the temperature doesn't change, just don't report it.  That's
already what ""no sample"" means, just clean things up.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Remove redundant temperature readings,37,2,1,1,1,1,1,1,1,1,1,0.0,0.0,N/A,1.0,N/A
94,https://github.com/torvalds/subsurface-for-dirk/commit/ecff0922d43edeb361769755d49e84d1b02caa90,"Don't save cylinder working pressure

It was a mistake to save it - and I did it just because other dive
managers did.  It's a totally nonsensical measure, and nobody cares.
The only thing that matters is the size of the cylinder, and the
*actual* pressures.  Those give actual air consumption numbers, and are
meaningful and unambiguous.

So the ""working pressure"" for a cylinder is pointless except for two
things:

 - if you don't know the actual physical size, you need the ""working
   pressure"" along with the air size (eg ""85 cuft"") in order to compute
   the physical size.  So we do use the working pressure on *input* from
   systems that report cylinder sizes that way.

 - People may well want to know what kind of cylinder they were diving,
   and again, you can make a good guess about this from the working
   pressure.  So saving information like ""HP100+"" for the cylinder would
   be a good thing.

But notice how in neither case do we actually want to save the working
pressure itself.  And in fact saving it actually makes the output format
ambiguous: if we give both size and working pressure, what does 'size'
mean? Is it physical size in liters, or air size in cu ft?

So saving working pressure is just wrong. Get rid of it.

I'm going to add some kind of ""cylinder description"" thing, which we can
save instead (and perhaps guess standard cylinders from input like the
working pressure from dive logs that don't do this sanely - which is all
of them, as far as I can tell).

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Don't save cylinder working pressure,36,2,1,1,1,1,0,1,1,1,1,0.0,0.0,1.0,N/A,1.0
95,https://github.com/torvalds/subsurface-for-dirk/commit/09174367294c399265954a9e2770427e5ee251ba,"Add placeholder for cylinder type description

So we don't want to save working pressure, but cylinder type knowledge
would be lovely and useful.  And we can probably make a good initial
guess, or at least let people fill it in later.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Add placeholder for cylinder type description,45,2,1,1,1,1,1,1,1,1,0,0.0,N/A,N/A,N/A,N/A
96,https://github.com/torvalds/subsurface-for-dirk/commit/aab4d593bdbffef8442282318778a9833cbc7a43,"Generate date string for the dive list dynamically

.. and sort based on the 'time_t' value itself.

This allows us to use a more compact date format that doesn't need to
sort alphabetically, because sorting by date is always based on the date
value.  So we can use just a two-digit year, and skip the seconds, to
keep the column narrow, while still sorting correctly.

Also, ""Depth"" is a nice header string, but it is wider than the column
itself, which makes the whole column wider than necessary.  So put the
units in the header instead of in the string, keeping things narrow.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Generate date string for the dive list dynamically,50,2,1,1,1,1,1,1,1,4,6,0.0,0.0,0.8,N/A,N/A
97,https://github.com/torvalds/subsurface-for-dirk/commit/f448b68de0e844db3628332ebf70f2746882527c,"Clean up 'fixup_dive()' a bit

We don't want to override potentially more exact values for water
temperature etc either.  The sample save interval may be longer than
some internally kept state of key per-dive values like that.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Clean up 'fixup_dive()' a bit,29,2,1,1,1,1,1,1,1,1,5,0.0,0.2,1.0,1.0,1.0
98,https://github.com/torvalds/subsurface-for-dirk/commit/f8de487c2f590d6f4e27f878ac104c229667702c,"Make a guess at the cylinder description from the size and pressure

I'll want to also add a way to override/set the cylinder type: both
manually by just setting a size in liters, and by picking from some list
of standard cylinder sizes.

For example, it looks like most of my dives are marked as having
12-liter cylinders.  That is probably some default from Suunto Dive
Manager, or from whatever Dirk did.  It's almost certainly not right for
any of them: as far as I know, the standard cylinders for Lahaina Divers
(which is likely most of the warm water dives) are AL72's for air, and
AL80's for Nitrox.

That would be a 10L and a 11.1L tank respectively, afaik.  I don't know
what a 12-liter tank would be or where that size comes from.

Anyway, the LP85+ tank designation for some of the dives looks more
likely: that's one of the common sizes I've used for local dives.  So
the size of that thing is much more probably correct.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Make a guess at the cylinder description from the size and pressure,67,1,0,1,1,1,1,1,1,2,3,0.0,0.0,0.05,1.0,0.05
99,https://github.com/torvalds/subsurface-for-dirk/commit/5f7835a3913ba4b6e2bf24b7d7f19e277cd40a07,"Right align the numbers

Signed-off-by: Nathan Samson <nathansamson@gmail.com>",Right align the numbers,23,2,1,1,1,1,1,1,1,1,1,0.0,0.0,N/A,1.0,1.0
100,https://github.com/torvalds/subsurface-for-dirk/commit/e58fa7b9b506d5bb30268060279bc8dcbbeb99ea,"Parse uemis cylinder data

This is some seriously crazy stuff.  Instead of making sense as a
divelog, the uemis xml makes more sense as a ""dive computer settings
dump"".

And I guess I can see why they'd do that.  But it makes parsing it just
incredibly annoying.  The thing is more of a ""these are the
configurations I support as a dive computer thing"" than a ""this was the
tank you were diving with"".

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Parse uemis cylinder data,25,2,1,1,1,1,1,1,1,2,1,0.0,0.0,N/A,N/A,N/A
101,https://github.com/docker-library/php/commit/c60948d08bbc0aec96221be5c34e7f087640ed21,Dockerfiles to pull php and apache from source tars,Dockerfiles to pull php and apache from source tars,51,1,0,1,1,1,0,1,1,2,0,0.0,N/A,N/A,N/A,N/A
102,https://github.com/docker-library/php/commit/f9483c93a906759865c56c06a0c5732405650e74,"Add update.sh, add partial files for generating the apache Dockerfile","Add update.sh, add partial files for generating the apache Dockerfile",69,1,1,1,1,1,1,1,1,5,0,0.6,N/A,N/A,N/A,N/A
103,https://github.com/docker-library/php/commit/4c98e81721c9be84aef01de418af04a514272442,Add stackbrew generator,Add stackbrew generator,23,2,1,1,1,1,1,1,1,1,0,0.0,N/A,N/A,N/A,N/A
104,https://github.com/docker-library/php/commit/e98835b4540c8049bdb8871656a3aaf65cbb759b,Match multiple keys in update.sh since we have 2+ here,Match multiple keys in update.sh since we have 2+ here,54,1,1,1,1,1,1,1,1,1,0,1.0,N/A,N/A,N/A,N/A
105,https://github.com/docker-library/php/commit/88ee683d43757f302a283faf2689303c59438c28,Update to 5.5.16,Update to 5.5.16,16,1,1,1,1,1,1,1,0,2,0,0.0,N/A,N/A,N/A,N/A
106,https://github.com/docker-library/php/commit/5a117c8bef3d947af3ec2321ec6b7a7d3e9ae9c7,"Remove duplicated ""try try"" in update.sh","Remove duplicated ""try try"" in update.sh",40,2,1,1,1,1,1,1,0,1,0,1.0,N/A,N/A,N/A,N/A
107,https://github.com/docker-library/php/commit/4e7350151472b4e8ad67976a884a226d419d1951,Missed an extraneous .gz,Missed an extraneous .gz,24,2,1,1,1,1,0,1,1,1,0,0.0,N/A,N/A,N/A,N/A
108,https://github.com/docker-library/php/commit/6b54c7fa3f42f0eaade30c1bbb05d5fc2c0b39c2,"Add php 5.3, 5.4, and 5.6 fixing the update script","Add php 5.3, 5.4, and 5.6 fixing the update script",50,2,0,1,1,1,1,1,1,10,0,0.0,N/A,N/A,N/A,N/A
