message,label
"boilerplate code for openingsaving a file

all just copied from the gtk docs  no actual loading or saving is
taking place though

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"make the main display saner

this tweaks
  packing to be what youd kind of expect
  makes the summary info always visible
  the extended info is now on a notebook page of its own
  dive profile the first notebook page since the summary
   information is visible regardless
which all just seems a lot more logical

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"add some extended dive info fields

 and tweak the basic info layout a bit

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"rename some files to be more appropriate

the executable is now called divelog  if this gets useful enough to
actually use i guess ill have to come up with a real name some day

add a silly readme rename parse to parsexml

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"xml parsing start traversing properties too

this requires us to change the way we match things up because now we
can have things like

   divesdivesampleeventtime

and

   divesdivesampletime

and they are different things that sampleeventtime is a time
property of the event

now this is always going to be ambiguous since our linearized name of
the xml doesnt really care whether its a xml node child or a
property but quite frankly i dont care xml just isnt worth the pain

in fact maybe this ambiguity can end up being a good thing  we will
parse these two different lines of xml the same way

  divesampletime50timedepth108depthsampledive

  divesample time=50 depth=108sampledive

and the attribute approach seems to be the nicer one  maybe ill use
that for the output format

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"get rid of our ignore rules

ill start doing some kind of save unparsed things as extended items
thing and the ignore rules were just there to get rid of some of the
noise from early parsing

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"start parsing gas mixes

the suunto xml is just completely crazy  whats the helium percentage
companion to o2pct would it be hepct no its hepct0

ok so they didnt number the first o2pct which could be seen as sane
thats the only mix value that should always exist  and they clearly
started their indexing with 0  so with multiple mixes youd then
expect o2pct1 and hepct1 right

wrong because xml people are crazy the second o2 mix percentage is
obviously o2pct2  so the o2 percentages are onebased with an
implicit one  but the he percentages are zerobased with an explicit
zero  so the second mix is o2pct2 and hepct1

id like to ask what drugs suunto people are on but hey its a finnish
company  no need to ask  vodka explains everything  lots and lots of
vodka

in comparison the libdivecomputer output is nice and sane and uses a
gasmix node  of course now we have so many different xml nesting
nodes to check that i just made it an array of different noces  that
also allows me to mark the suunto case so that we only do the check
for crazy alcoholic xml entries when its a suunto file

the type of file thing is probably a good idea for deciding on default
units too some day

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"libdivecomputer does crazy gas mixes too

did i just say in comparison the libdivecomputer output is nice and
sane

it turns out that libdivecomputer has been doing some drugs too when it
comes to gas mixes  like showing o2 percentages as 2550% and n2
percentages as 1550%

clearly libdivecomputer uses a unsigned char for oxygen percentage
and makes 1 be undefined  and then it prints that nonexisting mix
out and in the process does math on the damn thing 100o2 to
calculate the nitrogen percentage

christ

just make the parser silently ignore the craziness because printing out
strange percentage reading 1550 a few hundred times just doesnt
make anything any better

signedoffby linus torvalds torvalds@linuxfoundationorg",bad
"gasmix stop tracking nitrogen percentages

the only thing you can do with that thing is screw things up like
libdivecomputer did  theres no value in tracking the filler gas
since you can always just calculate it from the gases that actually
matter

so just track oxygen and helium  and make sure they have sane values

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"add ability to save dives

this just generates another xml file  dont get me wrong i still dont
like xml but this way we can save in the same format we load things
from  except the saveformat is a lot cleaner than the abortion that
is suunto or libdivecomputer xml

dont bother with some crazy xml library crap for saving just do it

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"fix up small details in inputoutput

be more careful with fp conversions and with the kelvinc offset
and make sure to use the same names when saving as when parsing

now when we save a set of dives then reload them and save again the
second save image is identical to the first one

of course we dont actually save everything we load so we still do
lose information when we load and then save the result  but at least we
now dont lose the information that we do save

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"save everything in our current dives and samples into the xml file

now as we start parsing more we just need to also add the code to save
it

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"teach the date parser to also parse the international standard date format

the standard way to write a date is yyyymmdd which is unambiguous and
sorts correctly

we parsed that right in the datetime case but not in the normal date
case  and we do want to use that in our output format exactly because
its standard

and also parse duration for the dive duration  its what we use when
saving it just so happened that we ended up not parsing it right but
then picking it up from the samples instead

signedoffby linus torvalds torvalds@linuxfoundationorg",bad
"always use proper units when saving

when we see a number like 23145 wed better always also see a unit
its just good practice  so add min to duration and use only two
digits for number of seconds and m to depth

and write the date in international standard format

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"clean up savefile output a bit

use the empty element form for samples that dont have any events
associated with them and none do right now  this avoids that
annoying sample crud

and output the units in the output helpers so that you cant forget
them even if you try

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"do gasmix as an empty element xml too

lets make it a goal that the xml we output is pretty  that clearly was
never a goal for the suunto xml but we can be ohsomuchbetter than that

i still dont love xml but lets try to make the best of a bad situation
and take pride in what we do

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"save and parse notes and locations

its pretty rough but it seems to work

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"we cant save escape characters

i think it should be legal xml but whatever  libxml2 is very unhappy
and complains when loading  even if i escape them  so lets just
replace the low escape characters with 

the only thing to ever care was my testcase i suspect

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"fix wrongly nested watertemp xml entry

too much cutandpaste the ending tag said airtemp

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"generate watertemp field from samples if required

sure its redundant but its convenient for the general dive info

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"show temperature in the info summary

if it exists it really does help identify the dive  at least it does
for me local or maui

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"hack up some very rudimentary support for the uemis xml format

i think ill need to reorganize the handling of performat code but
for now we just mix it all up

the uemis conversion is also questionable even for just the small parts
i do  does it really do centipsi that sounds crazy  im waiting for
dirk to send me some actual humanreadable output from the dives right
now some of it is just rough guesses

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"use units value instead of guessing based on integerfp

we still end up guessing based on magnitude of the value though it
might be bar or mbar we end up picking one or the other based on
just how big the value is

i should make it look at any possible explicit units too since at least
with good xml they exist  of course the only good xml ive seen so
far is the one we generate ourselves 

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"silently ignore zero pressure

dont complain about them theyre just missing values

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"improve uemis xml parsing a bit

it looks like the unitspressure setting is only about the units that
things are shown in on the wrist computer the units in the file are
always in bar or rather centibar

which is definitely the right thing to do and means that we shouldnt
care about parsing the units setting  its purely about how something
is shown not about parsing

thats probably true of the other units too but lets see when i have
more data to go on

also parse water temperatures and tank pressure

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"do a dive dedup pass

if given multiple dives at the same time just dedup the dives  this
happens when youve dumped the whole divecomputer several times and
some dives show up in multiple dumps

when deduping try to avoid dropping data  so if one dive has notes
attached to it and the other one does not pick the notes from the dive
that does have them  obvious stuff like that

the sample merge is also written so that it should be possible to merge
two dives which we dont actually do yet

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"add location note to the top bar too

i really dont understand the packing rules  this does not look like
what i intended

oh well

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"update readme a bit

since this is now on github might as well tell people what they need
to compile it and warn them about the state of the project

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"add various dive fixups and show pressure if any in the plot

now the dive profile plot really needs some units  the pressure is
just a random line otherwise

signedoffby linus torvalds torvalds@linuxfoundationorg",bad
"only update meanmax depths with computed ones if they are way off

the computer may track real max depth more closely than it tracks
samples  so we trust the noncomputed meanmax depths more than the
computed ones

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"add mean depth marker on dive plot

just because i can

signedoffby linus torvalds torvalds@linuxfoundationorg",good
divec fix spelling,good
"do better cylinder information management

instead of just tracking gasmix track the size and workng pressure of
the cylinder too

and use cylinder instead of tank throughout

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"use the newer gtkuimanager for menu creation

signedoffby nathan samson nathansamson@gmailcom
signedoffby linus torvalds torvalds@linuxfoundationorg",good
"improve the layout of the text entries in gtk3 for gtk2 this could also be useful

signedoffby nathan samson nathansamson@gmailcom
signedoffby linus torvalds torvalds@linuxfoundationorg",bad
"dont bother saving n2 percentage

its all calculated anyway and for the same reason we dont bother even
parsing it at load time we really shouldnt bother saving it either

the only thing you can do with that value is check if the percentages
add up to 100% and so what

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"add quit menu item and fix invisible file on gtk2

i didnt even notice that the file part of the file menu no longer
showed up since the keyboard accelerator for ^s worked fine  but
apparently theres no default label associated with gtkstockfile in
gtk2 so the file text went away with the conversion to gtkuimanager
in commit 4d62478e14fe use the newer gtkuimanager for menu creation

the addition of a quit menu entry with the associated keyboard
accelerator also makes ^q just work

of course if we actually tracked dirty state etc we could perhaps ask
the user whether they wanted to save or something  but im not exactly
famous for my gui chops so 

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"change location to a text entry instead of text view

signedoffby nathan samson nathansamson@gmailcom",neutral
"word wrap the info textview also do not show the scrollbars if not necessary

signedoffby nathan samson nathansamson@gmailcom",bad
"removed the unused startemp and enttemp calculations this fixes a compiler warning too

signedoffby nathan samson nathansamson@gmailcom",bad
"oops i forgot to fclose the file after saving the xml

it never actually triggered anything for me but any buffered data might
be lost especially if you forceexit the application after saving a
dive log

this probably explains a corrupted truncated dive file report from
nathan samson

reportedby nathan samson httpsgithubcomnathansamson
signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"update gitignore for the namechange of the executable

its not called parse any more  and i think i should rename divelog
too to something more unique  right now the working name for the
project is diveclog kind of like jdivelog  but im not convinced
that the c implementation part is really important enough to make a
point of longterm

subsurface i dont know  maybe i should follow the name all
projects after myself mantra  divenut

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"use a pane so the dive list can be made wider or smaller to the users wishes

signedoffby nathan samson nathansamson@gmailcom",bad
"remove the redundant frames in the notebook closes #9

signedoffby nathan samson nathansamson@gmailcom",good
"fix typo in makefile ldlags  ldflags

reportedby konrad delong httpsgithubcomkonryd
signedoffby linus torvalds torvalds@linuxfoundationorg",good
"some ui beauty patches

uppercase first letter for each label word
tweak the paddings for easier reading
rename file menu to log menu
add a separator before quit in the log menu
remove frame in extended diving info and add 6px padding

signedoffby hylke bons hylkebons@gmailcom",bad
"split the dive list in columns columns are sortable now name = date depth duration

signedoffby nathan samson nathansamson@gmailcom",bad
"remove redundant temperature readings

im aiming to really differentiate in dive log software by making my xml
export files be clean dammit

that means that we dont have random names we dont have crazy random
units and we dont have redundant information

so when the temperature doesnt change just dont report it  thats
already what no sample means just clean things up

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"dont save cylinder working pressure

it was a mistake to save it  and i did it just because other dive
managers did  its a totally nonsensical measure and nobody cares
the only thing that matters is the size of the cylinder and the
actual pressures  those give actual air consumption numbers and are
meaningful and unambiguous

so the working pressure for a cylinder is pointless except for two
things

  if you dont know the actual physical size you need the working
   pressure along with the air size eg 85 cuft in order to compute
   the physical size  so we do use the working pressure on input from
   systems that report cylinder sizes that way

  people may well want to know what kind of cylinder they were diving
   and again you can make a good guess about this from the working
   pressure  so saving information like hp100+ for the cylinder would
   be a good thing

but notice how in neither case do we actually want to save the working
pressure itself  and in fact saving it actually makes the output format
ambiguous if we give both size and working pressure what does size
mean is it physical size in liters or air size in cu ft

so saving working pressure is just wrong get rid of it

im going to add some kind of cylinder description thing which we can
save instead and perhaps guess standard cylinders from input like the
working pressure from dive logs that dont do this sanely  which is all
of them as far as i can tell

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"add placeholder for cylinder type description

so we dont want to save working pressure but cylinder type knowledge
would be lovely and useful  and we can probably make a good initial
guess or at least let people fill it in later

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"generate date string for the dive list dynamically

 and sort based on the timet value itself

this allows us to use a more compact date format that doesnt need to
sort alphabetically because sorting by date is always based on the date
value  so we can use just a twodigit year and skip the seconds to
keep the column narrow while still sorting correctly

also depth is a nice header string but it is wider than the column
itself which makes the whole column wider than necessary  so put the
units in the header instead of in the string keeping things narrow

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"clean up fixupdive a bit

we dont want to override potentially more exact values for water
temperature etc either  the sample save interval may be longer than
some internally kept state of key perdive values like that

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"make a guess at the cylinder description from the size and pressure

ill want to also add a way to overrideset the cylinder type both
manually by just setting a size in liters and by picking from some list
of standard cylinder sizes

for example it looks like most of my dives are marked as having
12liter cylinders  that is probably some default from suunto dive
manager or from whatever dirk did  its almost certainly not right for
any of them as far as i know the standard cylinders for lahaina divers
which is likely most of the warm water dives are al72s for air and
al80s for nitrox

that would be a 10l and a 111l tank respectively afaik  i dont know
what a 12liter tank would be or where that size comes from

anyway the lp85+ tank designation for some of the dives looks more
likely thats one of the common sizes ive used for local dives  so
the size of that thing is much more probably correct

signedoffby linus torvalds torvalds@linuxfoundationorg",neutral
"right align the numbers

signedoffby nathan samson nathansamson@gmailcom",good
"parse uemis cylinder data

this is some seriously crazy stuff  instead of making sense as a
divelog the uemis xml makes more sense as a dive computer settings
dump

and i guess i can see why theyd do that  but it makes parsing it just
incredibly annoying  the thing is more of a these are the
configurations i support as a dive computer thing than a this was the
tank you were diving with

signedoffby linus torvalds torvalds@linuxfoundationorg",good
"properly saverestore cylinder description string

we saved it under the wrong name and didnt restore it at all fix

signedoffby linus torvalds torvalds@linuxfoundationorg",good
fixed transaction unregistration from jmx when it does not finish properly,bad
implemented recovery mbean,bad
fixed exception message,good
made sessions collection private and added pending sessions close at connection close,bad
fixed timeout semantic,good
when a resource cannot be rolled back after timeout the journal does not contain a rolledback entry anymore,bad
fixed javadoc,good
improved warn log statement,neutral
fixed bug that jms connection lost track of its jms sessions,neutral
aligned timeout semantics with jta spec,neutral
fixed race conditions by cleaning session recycling code,neutral
fixed potential race condition in closing pending sessions,neutral
improved logs,neutral
improved javadoc,neutral
improved javadoc,neutral
implemented filtering by gtrid,neutral
improved logging,neutral
fixed shutdown race condition,good
"made pooling objects directly instanciatable not need to use bean objects to create resources

backward compatibility has been maintained though",bad
allowed restarting the tm after it has shutdown,neutral
fixed management unregistration bug,neutral
cleaned up shutdown code now only resources created by resource loader will be automatically closed at tm shutdown,bad
refactored recoverer so that it queries resourceregistrar instead of expecting resources to be registered this required updating some code in the resourceloader as well,bad
refactored recoverer so that it queries resourceregistrar instead of expecting resources to be registered this required updating some code in the resourceloader as well,bad
more cleanup + updated test,neutral
updated javadoc,neutral
updated javadoc,neutral
minor code cleanup,bad
javadoc improvements,bad
reafactored test to get rid of deprecated classes usage,neutral
improved recovery test it now works with a mock resource,bad
fixed some tests + moved manual ones to new source folder,bad
added useful error check,good
improved exception type,bad
fixed serialization + small cleanups,neutral
improved javadoc,neutral
removed deprecated methods usage,bad
refactored properties reflection exceptions handling,bad
fixed transactions integrity when a resource cannot be recovered and is present in the journal now recoverer refuses to run,bad
reorganized tests to allow them to run as a suite,neutral
reorganized tests to allow them to run as a suite,neutral
added test task to build script,neutral
fixed typos,neutral
fixed more tests,neutral
fixed multienlisted connection veto on close now connection handle is left untouched when veto happens,bad
added apache license for jta and jms libs,bad
added 10 release notes,neutral
latest version of intellij project files,bad
made serverid reconfigurable after a shutdown,good
made pooled objects unwrappable,neutral
improved test target to build html reports,neutral
implemented resizable pooling,neutral
implemented keepconnectionopenuntilafter2pc required to support ibm db2,bad
updated javadoc,neutral
fixed typo in setmaxidletime property,good
fixed deferred release synchronization cleanup when a connection gets recycled,bad
fixed missing statechanging event propagation,good
improved getproperties so that it only returns properties that have both a getter and a setter,bad
added resource password encryption capability,neutral
fixed test,neutral
refactored task scheduler it is now more robust and more testable,bad
improved xaresourcerecover calls error handling and reporting,bad
fixed bug related to properties access using isxxx getters,good
added test for isxxx getter,good
improved javadoc,neutral
code cleanup & refactorings,neutral
removed pooledconnection implementation,good
fixed test,neutral
improved javadoc,neutral
refactored jndi support classes to have more consistentstandard naming,neutral
improved main,neutral
improved management interface,bad
simplified shutdown method,bad
removed usage of deprecated methods,bad
improved javadoc,neutral
changed warnings into debug logs for calls to cancelxxx where there is no task to be cancelled,bad
allowed disabling registration of the shutdown hook,neutral
moved head to 11,bad
added test for tostring method will also be useful to catch some propertyutils bugs,bad
fixed tostring test,neutral
fixed bug btm2  recovery failures are now properly reported,neutral
disallowed savepoint related methods in global tx mode as per jdbc3 spec,neutral
improved javadoc,neutral
fixed bug that connection could still be used after being closed,neutral
added autocommit reset code,good
added public method to get wrapped connection,good
fix for btm6 support for jms credentials,neutral
upgraded slf4j to latest version,good
fixed btm5 implemented pooling of prepared statements  statement cache,bad
removed keepconnectionopenuntilafter2pc references,good
added 12 release notes,good
upgraded project files for 12,bad
fixed bug btm7 encrypted password now properly decrypted both in resourceloader and api cases,bad
fixed lock semantics difference between win32 and unix that allowed the log files to be overwritten on unix,bad
removed shutdown hook,good
"fixed btm8  durable subscribers cannot participate in xa

createdurablesubscriber now enlists resource in the transaction using proper producerconsumer caching scheme",bad
fixed btm9  reference created by getreference throws npe on tostring,bad
moved nonxa classes to another package,bad
added backward compatibility class,good
minor code cleanup,neutral
"initial import into repository

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@2 c8979423a7686f1717f2fb57d64bf5d2",neutral
"initial import into repository

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@3 c8979423a7686f1717f2fb57d64bf5d2",neutral
"added scatter plot matrix
added setpadding for graph2d
	graph2d wont draw axies if the padding is zero

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@4 c8979423a7686f1717f2fb57d64bf5d2",neutral
"added histogram

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@5 c8979423a7686f1717f2fb57d64bf5d2",good
"created better single variable statistics window

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@6 c8979423a7686f1717f2fb57d64bf5d2",neutral
"updated countinous distribution to be able to return the current parameters values
updated countinous distribution to set parameters based off of given data
updated distritbuion selection and qqplotdist menu item to make use of these two new features

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@7 c8979423a7686f1717f2fb57d64bf5d2",bad
"added grey out of menu items when no data set made
also made a quit drop down ctrl+q

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@8 c8979423a7686f1717f2fb57d64bf5d2",bad
"added example data files that can be used to test against

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@9 c8979423a7686f1717f2fb57d64bf5d2",neutral
"made file parsing slightly faster

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@10 c8979423a7686f1717f2fb57d64bf5d2",bad
"added ability to maximize by switching from jdialog to jframe

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@11 c8979423a7686f1717f2fb57d64bf5d2",neutral
"added linear regression implementatino & gui 
	modified scatter plot to support drawing a regression function

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@12 c8979423a7686f1717f2fb57d64bf5d2",neutral
"added the beta function to specialmath

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@13 c8979423a7686f1717f2fb57d64bf5d2",good
"created integration methods added trapezoidal and romberg integration

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@14 c8979423a7686f1717f2fb57d64bf5d2",neutral
"added default max iterations method for romberg

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@15 c8979423a7686f1717f2fb57d64bf5d2",neutral
"intial work with incomplete and regularized gamma functions

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@16 c8979423a7686f1717f2fb57d64bf5d2",bad
"more work on gamma functions now a functional complete set that is accurate to full precision for most common values

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@17 c8979423a7686f1717f2fb57d64bf5d2",bad
"adding some java docs


gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@18 c8979423a7686f1717f2fb57d64bf5d2",neutral
"added gamma and chi squared other than inverpdf which may not be possible for all distirbutions
started studentt but needs regularized beta function first

small changes to densevector & vector to simple do a little more that should have been done before

added inverse function for gammap

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@19 c8979423a7686f1717f2fb57d64bf5d2",bad
"added regularized incomplete beta function

gitsvnid httpsjavastatisticalanalysistoolgooglecodecomsvntrunk@20 c8979423a7686f1717f2fb57d64bf5d2",good
